OTU	12o	7o	2o	11o	4o	5o	13o	6o	1o	14o	3o	9o	15o	10o	8o
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.0	3.0989494561343705e-05	8.553002959339024e-05	0.0	0.0	0.0	0.0	1.6848915772270053e-05	0.0	0.0	2.142750005356875e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	0.0	0.0	5.1318017756034137e-05	0.0	0.0	6.497866533821395e-05	0.0	0.0	5.6831097976812913e-05	0.0	4.28550001071375e-05	0.0	0.0	0.0	0.0001501726986033939
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	0.0024037017006189533	0.005872509219374632	0.002873808994337912	0.0058855253593453226	0.0029837683004455763	0.002360891507288441	0.017926879160932798	0.00636889016191808	0.02015609608244298	0.0	0.004564057511410144	0.0009296188562689297	0.004333023831631072	0.009168067899751782	0.005556389848325574
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__p-2534-18B5	0.0	0.0	0.0	0.0	0.0	0.001017999090298685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__	0.0	0.0	0.0	0.0	0.0	0.0012562541965388029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	0.0	0.0	0.0	0.0	1.989178866963717e-05	0.0001299573306764279	0.0	3.3697831544540113e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.0030246579732788486	0.002587622795872199	0.001607964556355736	0.005041386263981054	0.005330999363462764	0.003942039030518314	0.01050693643768364	0.000623409883573992	0.004167613851632947	0.009363787520784107	0.0028498575071246434	0.00020991393528653246	0.00897554936552151	0.0008607574665705823	0.0021024177804475144
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.0006009254251547383	0.00024791595649074964	0.0010092543492020048	0.0025558655942973713	0.0007161043921069382	0.029608611839112817	0.0016736712909584555	0.004161682195750704	0.00017049329393043874	0.0	0.0016927725042319313	0.0	0.0	0.0007806870045640162	0.0015684704076354475
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.0	0.0	0.0	0.0001641381574319413	0.0	0.0046784639043514036	5.578904303194853e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
