OTU	19o	16o	17o	21o	18o	23o	20o	22o
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	0.001044593329010878	0.000206380600223579	0.0017910344946355074	0.002707990921186507	0.002362939954646798	0.002228319920443454	0.0005406318634904545	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.6894745734076698e-05	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__[Chromatiaceae]	0.0	1.7198383351964915e-05	0.0	0.0	7.62238695047354e-05	5.524760133330878e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae	0.0031878106764642315	0.0006535385673746668	0.00036165119603216966	0.0008452688424512798	0.00028583951064275776	0.002946538737776468	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.00014408183848425903	3.439676670392983e-05	0.00025832228288012125	9.391876027236441e-05	0.00011433580425710313	0.00018415867111102926	0.000168947457340767	0.01981505944517833
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.4583423384482386	0.2278613810301832	0.1837015860988169	0.12511544180950152	0.12155801589267674	0.5463251137179795	0.2821760432505491	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.0007384194222318278	0.0004987531172069826	0.00027554376840546263	0.0003130625342412147	0.0015816452922232595	0.0003499014751109557	0.00020273694880892042	0.001981505944517833
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.00023413298753692096	0.00013758706681571932	8.610742762670708e-05	1.5653126712060733e-05	0.0005716790212855155	0.0002025745382221322	5.0684237202230105e-05	0.16578599735799204
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.0	1.7198383351964915e-05	0.0	0.0	9.527983688091928e-05	0.0	0.0	0.0
k__Bacteria;p__SR1;c__;o__;f__	0.0004142352856422448	3.439676670392983e-05	0.0007233023920643393	0.0005322063082100648	0.0003239514453951255	0.00031306974088874973	0.0	0.0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae	0.000792450111663425	0.0004815547338550176	0.00017221485525341417	0.0012522501369648588	0.0013720296510852372	0.00011049520266661756	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae	9.005114905266192e-05	0.00015478545016768422	1.7221485525341415e-05	0.00020349064725678955	0.0004763991844045962	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
